"",NSC,CONCUNIT,LCONC,PANEL,CELL,NLOGGI50
"5247",657321,M,-4,Renal,CAKI1,5.185
"5248",657321,M,-4,Leukemia,CCRFCEM,5.795
"5249",657321,M,-4,Colon,COLO205,5.752
"5250",657321,M,-4,Prostate,DU145,4.708
"5251",657321,M,-4,Non-Small Cell Lung,EKVX,5.096
"5252",657321,M,-4,Colon,HCC2998,4.643
"5253",657321,M,-4,Colon,HCT116,5.387
"5254",657321,M,-4,Colon,HCT15,5.677
"5255",657321,,,,HL60,
"5256",657321,M,-4,Non-Small Cell Lung,HOP62,4.634
"5257",657321,M,-4,Non-Small Cell Lung,HOP92,5.423
"5258",657321,M,-4,Breast,HS578T,4.555
"5259",657321,M,-4,Colon,HT29,4.951
"5260",657321,M,-4,Ovarian,IGROV1,4.794
"5261",657321,M,-4,Leukemia,K562,5.488
"5262",657321,M,-4,Colon,KM12,4.681
"5263",657321,M,-4,Melanoma,LOXIMVI,4.731
"5264",657321,M,-4,Melanoma,M14,5.432
"5265",657321,M,-4,Melanoma,MALME3M,5.614
"5266",657321,M,-4,Breast,MCF7,5.034
"5267",657321,,,,MDAMB231,
"5268",657321,M,-4,Melanoma,MDAMB435,4.769
"5269",657321,,,,MDAMB468,
"5270",657321,M,-4,Leukemia,MOLT4,5.659
"5271",657321,M,-4,Ovarian,NCIADRRES,4.701
"5272",657321,M,-4,Non-Small Cell Lung,NCIH226,4.481
"5273",657321,M,-4,Non-Small Cell Lung,NCIH23,4.756
"5274",657321,M,-4,Non-Small Cell Lung,NCIH322M,4.654
"5275",657321,M,-4,Non-Small Cell Lung,NCIH460,4.732
"5276",657321,M,-4,Non-Small Cell Lung,NCIH522,5.945
"5277",657321,M,-4,Ovarian,OVCAR3,5.168
"5278",657321,M,-4,Ovarian,OVCAR4,5.106
"5279",657321,M,-4,Ovarian,OVCAR5,4.754
"5280",657321,M,-4,Ovarian,OVCAR8,4.715
"5281",657321,M,-4,Prostate,PC3,4.823
"5282",657321,M,-4,Leukemia,RPMI8226,5.537
"5283",657321,M,-4,Renal,RXF393,5.492
"5284",657321,M,-4,Central Nervous System,SF268,4.587
"5285",657321,M,-4,Central Nervous System,SF295,4.732
"5286",657321,M,-4,Central Nervous System,SF539,4.715
"5287",657321,M,-4,Melanoma,SKMEL2,5.18
"5288",657321,M,-4,Melanoma,SKMEL28,5.135
"5289",657321,M,-4,Melanoma,SKMEL5,4.859
"5290",657321,M,-4,Ovarian,SKOV3,4.684
"5291",657321,M,-4,Renal,SN12C,5.137
"5292",657321,M,-4,Central Nervous System,SNB19,4.704
"5293",657321,M,-4,Central Nervous System,SNB75,4.893
"5294",657321,M,-4,Leukemia,SR,5.652
"5295",657321,M,-4,Colon,SW620,5.776
"5296",657321,M,-4,Breast,T47D,5.679
"5297",657321,M,-4,Renal,TK10,5.134
"5298",657321,M,-4,Central Nervous System,U251,4.669
"5299",657321,M,-4,Melanoma,UACC257,4.811
"5300",657321,M,-4,Melanoma,UACC62,4.836
"5301",662422,M,-5,Renal,7860,5.618
"5302",662422,M,-5,Renal,A498,5.573
"5303",662422,,,,A549,
"5304",662422,M,-5,Renal,ACHN,5.683
"5305",662422,M,-5,Breast,BT549,5.111
"5306",662422,M,-5,Renal,CAKI1,5.329
"5307",662422,M,-5,Leukemia,CCRFCEM,5.721
"5308",662422,M,-5,Colon,COLO205,5.55
"5309",662422,M,-5,Prostate,DU145,5
"5310",662422,M,-5,Non-Small Cell Lung,EKVX,5
"5311",662422,M,-5,Colon,HCC2998,5.294
"5312",662422,M,-5,Colon,HCT116,5.751
"5313",662422,M,-5,Colon,HCT15,5.194
"5314",662422,,,,HL60,
"5315",662422,M,-5,Non-Small Cell Lung,HOP62,5.066
"5316",662422,M,-5,Non-Small Cell Lung,HOP92,5.346
"5317",662422,M,-5,Breast,HS578T,5
"5318",662422,M,-5,Colon,HT29,5.651
"5319",662422,M,-5,Ovarian,IGROV1,5.355
"5320",662422,M,-5,Leukemia,K562,5.614
"5321",662422,M,-5,Colon,KM12,5.32
"5322",662422,,,,LOXIMVI,
"5323",662422,M,-5,Melanoma,M14,5
"5324",662422,M,-5,Melanoma,MALME3M,5.333
"5325",662422,M,-5,Breast,MCF7,5.575
"5326",662422,,,,MDAMB231,
"5327",662422,M,-5,Melanoma,MDAMB435,5.237
"5328",662422,,,,MDAMB468,
"5329",662422,M,-5,Leukemia,MOLT4,5.88
"5330",662422,M,-5,Ovarian,NCIADRRES,5.548
"5331",662422,M,-5,Non-Small Cell Lung,NCIH226,5.129
"5332",662422,M,-5,Non-Small Cell Lung,NCIH23,5.147
"5333",662422,M,-5,Non-Small Cell Lung,NCIH322M,5.391
"5334",662422,M,-5,Non-Small Cell Lung,NCIH460,5.501
"5335",662422,M,-5,Non-Small Cell Lung,NCIH522,5.485
"5336",662422,M,-5,Ovarian,OVCAR3,5.067
"5337",662422,M,-5,Ovarian,OVCAR4,5.106
"5338",662422,M,-5,Ovarian,OVCAR5,5.234
"5339",662422,M,-5,Ovarian,OVCAR8,5.624
"5340",662422,M,-5,Prostate,PC3,5.461
"5341",662422,M,-5,Leukemia,RPMI8226,5.59
"5342",662422,M,-5,Renal,RXF393,5.267
"5343",662422,M,-5,Central Nervous System,SF268,5.479
"5344",662422,M,-5,Central Nervous System,SF295,5.347
"5345",662422,M,-5,Central Nervous System,SF539,5.409
"5346",662422,M,-5,Melanoma,SKMEL2,5
"5347",662422,M,-5,Melanoma,SKMEL28,5
"5348",662422,M,-5,Melanoma,SKMEL5,5.184
"5349",662422,M,-5,Ovarian,SKOV3,5.095
"5350",662422,M,-5,Renal,SN12C,5.375
"5351",662422,M,-5,Central Nervous System,SNB19,5
"5352",662422,M,-5,Central Nervous System,SNB75,5.542
"5353",662422,,,,SR,
"5354",662422,M,-5,Colon,SW620,5.612
"5355",662422,M,-5,Breast,T47D,5.423
"5356",662422,M,-5,Renal,TK10,5.07
"5357",662422,M,-5,Central Nervous System,U251,5.231
"5358",662422,M,-5,Melanoma,UACC257,5
"5359",662422,,,,UACC62,
"5360",662423,M,-5,Renal,7860,5
"5361",662423,M,-5,Renal,A498,5
"5362",662423,,,,A549,
"5363",662423,M,-5,Renal,ACHN,5
"5364",662423,M,-5,Breast,BT549,5
"5365",662423,M,-5,Renal,CAKI1,5
"5366",662423,M,-5,Leukemia,CCRFCEM,5
"5367",662423,M,-5,Colon,COLO205,5
"5368",662423,M,-5,Prostate,DU145,5
"5369",662423,M,-5,Non-Small Cell Lung,EKVX,5
"5370",662423,M,-5,Colon,HCC2998,5
"5371",662423,M,-5,Colon,HCT116,5
"5372",662423,M,-5,Colon,HCT15,5
"5373",662423,,,,HL60,
"5374",662423,M,-5,Non-Small Cell Lung,HOP62,5
"5375",662423,M,-5,Non-Small Cell Lung,HOP92,5
"5376",662423,M,-5,Breast,HS578T,5
"5377",662423,M,-5,Colon,HT29,5
"5378",662423,M,-5,Ovarian,IGROV1,5
"5379",662423,M,-5,Leukemia,K562,5
"5380",662423,M,-5,Colon,KM12,5
"5381",662423,,,,LOXIMVI,
"5382",662423,M,-5,Melanoma,M14,5
"5383",662423,M,-5,Melanoma,MALME3M,5
"5384",662423,M,-5,Breast,MCF7,5
"5385",662423,,,,MDAMB231,
"5386",662423,M,-5,Melanoma,MDAMB435,5
"5387",662423,,,,MDAMB468,
"5388",662423,M,-5,Leukemia,MOLT4,5
"5389",662423,M,-5,Ovarian,NCIADRRES,5
"5390",662423,M,-5,Non-Small Cell Lung,NCIH226,5
"5391",662423,M,-5,Non-Small Cell Lung,NCIH23,5
"5392",662423,M,-5,Non-Small Cell Lung,NCIH322M,5
"5393",662423,M,-5,Non-Small Cell Lung,NCIH460,5
