"",DRUG_ID,COSMIC_ID,LN_IC50,MAX_CONC_MICROMOLAR,Cell_Line,Drug_Name,Synonyms
"325",1026,905959,-1.0011281,1,SKOV3,TANESPIMYCIN,"17-AAG, BMS-722782"
"326",1026,909735,0.92807345,1,SNGM,TANESPIMYCIN,"17-AAG, BMS-722782"
"327",1026,1240216,-0.2661518,1,SNU182,TANESPIMYCIN,"17-AAG, BMS-722782"
"328",1026,909736,0.76698932,1,SNU387,TANESPIMYCIN,"17-AAG, BMS-722782"
"329",,,,,SNU398,TANESPIMYCIN,
"330",1026,909737,1.98088604,1,SNU423,TANESPIMYCIN,"17-AAG, BMS-722782"
"331",1026,909738,2.43193943,1,SNU449,TANESPIMYCIN,"17-AAG, BMS-722782"
"332",,,,,SNU475,TANESPIMYCIN,
"333",1026,1240218,-2.07221818,1,SU8686,TANESPIMYCIN,"17-AAG, BMS-722782"
"334",1026,1331033,-0.24433231,1,SUDHL10,TANESPIMYCIN,"17-AAG, BMS-722782"
"335",1026,1331035,1.23438363,1,SUDHL4,TANESPIMYCIN,"17-AAG, BMS-722782"
"336",1026,1331037,1.30914538,1,SUDHL6,TANESPIMYCIN,"17-AAG, BMS-722782"
"337",1026,1331038,1.81624891,1,SUDHL8,TANESPIMYCIN,"17-AAG, BMS-722782"
"338",1026,1240219,0.77616513,1,SUIT2,TANESPIMYCIN,"17-AAG, BMS-722782"
"339",1026,1331040,-0.92595822,1,SUPM2,TANESPIMYCIN,"17-AAG, BMS-722782"
"340",1026,909743,0.93258793,1,SUPT1,TANESPIMYCIN,"17-AAG, BMS-722782"
"341",,,,,SW1088,TANESPIMYCIN,
"342",1026,1299062,1.9471382,1,SW1271,TANESPIMYCIN,"17-AAG, BMS-722782"
"343",1026,909747,0.45245271,1,SW1417,TANESPIMYCIN,"17-AAG, BMS-722782"
"344",1026,724878,-1.39095779,1,SW1573,TANESPIMYCIN,"17-AAG, BMS-722782"
"345",,,,,SW1990,TANESPIMYCIN,
"346",1026,910908,-0.21116909,1,SW403,TANESPIMYCIN,"17-AAG, BMS-722782"
"347",1026,909751,-3.29698251,1,SW48,TANESPIMYCIN,"17-AAG, BMS-722782"
"348",1026,905962,-1.79975206,1,SW620,TANESPIMYCIN,"17-AAG, BMS-722782"
"349",1026,687457,-3.13793212,1,SW780,TANESPIMYCIN,"17-AAG, BMS-722782"
"350",1026,724879,-0.33654647,1,SW900,TANESPIMYCIN,"17-AAG, BMS-722782"
"351",,,,,T24,TANESPIMYCIN,
"352",1026,905945,2.54797365,1,T47D,TANESPIMYCIN,"17-AAG, BMS-722782"
"353",1026,909761,1.6436225,1,T84,TANESPIMYCIN,"17-AAG, BMS-722782"
"354",1026,687586,-2.9641311,1,T98G,TANESPIMYCIN,"17-AAG, BMS-722782"
"355",1026,1240221,-1.26690867,1,TC71,TANESPIMYCIN,"17-AAG, BMS-722782"
"356",1026,687459,-2.73295988,1,TCCSUP,TANESPIMYCIN,"17-AAG, BMS-722782"
"357",1026,753621,-2.16483054,1,TE1,TANESPIMYCIN,"17-AAG, BMS-722782"
"358",1026,946354,-2.35355092,1,TE11,TANESPIMYCIN,"17-AAG, BMS-722782"
"359",1026,753614,-2.03680418,1,TE15,TANESPIMYCIN,"17-AAG, BMS-722782"
"360",1026,735784,0.66440077,1,TE5,TANESPIMYCIN,"17-AAG, BMS-722782"
"361",1026,946353,-1.39525974,1,TE9,TANESPIMYCIN,"17-AAG, BMS-722782"
"362",1026,1299070,-1.8730114,1,TOV112D,TANESPIMYCIN,"17-AAG, BMS-722782"
"363",1026,1240222,-4.86216936,1,TOV21G,TANESPIMYCIN,"17-AAG, BMS-722782"
"364",1026,1240223,-3.52382859,1,TT2609C02,TANESPIMYCIN,"17-AAG, BMS-722782"
"365",1026,909774,-2.94994192,1,TYKNU,TANESPIMYCIN,"17-AAG, BMS-722782"
"366",1026,687588,-1.21303747,1,U118MG,TANESPIMYCIN,"17-AAG, BMS-722782"
"367",,,,,U2OS,TANESPIMYCIN,
"368",1026,687590,-2.3078922,1,U87MG,TANESPIMYCIN,"17-AAG, BMS-722782"
"369",1026,905977,-0.50155327,1,UACC257,TANESPIMYCIN,"17-AAG, BMS-722782"
"370",1026,905976,-1.14750448,1,UACC62,TANESPIMYCIN,"17-AAG, BMS-722782"
"371",,,,,UACC812,TANESPIMYCIN,
"372",,,,,UMUC3,TANESPIMYCIN,
"373",1026,713869,0.01300371,1,VMRCLCD,TANESPIMYCIN,"17-AAG, BMS-722782"
"374",,,,,VMRCRCW,TANESPIMYCIN,
"375",1026,909781,-1.71550005,1,VMRCRCZ,TANESPIMYCIN,"17-AAG, BMS-722782"
"376",1026,909784,-3.15806421,1,WM115,TANESPIMYCIN,"17-AAG, BMS-722782"
"377",1026,687592,-2.76240501,1,YKG1,TANESPIMYCIN,"17-AAG, BMS-722782"
"378",1026,909907,-0.69281895,1,ZR7530,TANESPIMYCIN,"17-AAG, BMS-722782"
"379",,,,,22RV1,SARACATINIB,
"380",,,,,42MGBA,SARACATINIB,
"381",,,,,5637,SARACATINIB,
"382",,,,,639V,SARACATINIB,
"383",38,906800,1.3326023,2,697,SARACATINIB,"AZD0530, AZD-0530, AZ-10353926"
"384",,,,,769P,SARACATINIB,
"385",,,,,7860,SARACATINIB,
"386",,,,,8305C,SARACATINIB,
"387",,,,,8505C,SARACATINIB,
"388",38,687562,2.68246142,2,8MGBA,SARACATINIB,"AZD0530, AZD-0530, AZ-10353926"
"389",,,,,A172,SARACATINIB,
"390",,,,,A204,SARACATINIB,
"391",,,,,A2058,SARACATINIB,
"392",38,906794,2.50252253,2,A253,SARACATINIB,"AZD0530, AZD-0530, AZ-10353926"
"393",,,,,A2780,SARACATINIB,
"394",,,,,A375,SARACATINIB,
"395",,,,,A549,SARACATINIB,
"396",,,,,A673,SARACATINIB,
"397",,,,,ACHN,SARACATINIB,
"398",38,1295740,-1.67008176,2,ALLSIL,SARACATINIB,"AZD0530, AZD-0530, AZ-10353926"
"399",38,1295741,2.39035895,2,AMO1,SARACATINIB,"AZD0530, AZD-0530, AZ-10353926"
"400",,,,,AN3CA,SARACATINIB,
"401",,,,,ASPC1,SARACATINIB,
"402",,,,,AU565,SARACATINIB,
"403",,,,,BCPAP,SARACATINIB,
"404",,,,,BFTC909,SARACATINIB,
"405",38,910706,1.82573566,2,BL41,SARACATINIB,"AZD0530, AZD-0530, AZ-10353926"
"406",38,910707,0.46243609,2,BL70,SARACATINIB,"AZD0530, AZD-0530, AZ-10353926"
"407",,,,,BT20,SARACATINIB,
"408",38,946359,2.88808084,2,BT474,SARACATINIB,"AZD0530, AZD-0530, AZ-10353926"
"409",,,,,BT549,SARACATINIB,
"410",,,,,BXPC3,SARACATINIB,
"411",38,910700,0.37444962,2,C2BBE1,SARACATINIB,"AZD0530, AZD-0530, AZ-10353926"
"412",,,,,C32,SARACATINIB,
"413",,,,,C3A,SARACATINIB,
"414",,,,,CAL12T,SARACATINIB,
"415",,,,,CAL27,SARACATINIB,
"416",,,,,CAL78,SARACATINIB,
"417",,,,,CAL851,SARACATINIB,
"418",,,,,CALU3,SARACATINIB,
"419",38,724859,2.61979459,2,CALU6,SARACATINIB,"AZD0530, AZD-0530, AZ-10353926"
"420",,,,,CAMA1,SARACATINIB,
"421",,,,,CAPAN2,SARACATINIB,
"422",38,910943,3.67496962,2,CAS1,SARACATINIB,"AZD0530, AZD-0530, AZ-10353926"
"423",,,,,CCK81,SARACATINIB,
"424",,,,,CHL1,SARACATINIB,
"425",,,,,CHP212,SARACATINIB,
"426",,,,,COLO205,SARACATINIB,
"427",,,,,COLO678,SARACATINIB,
"428",,,,,COLO679,SARACATINIB,
"429",,,,,COLO741,SARACATINIB,
"430",,,,,CORL105,SARACATINIB,
"431",,,,,CORL23,SARACATINIB,
"432",,,,,DAOY,SARACATINIB,
"433",,,,,DBTRG05MG,SARACATINIB,
"434",38,906836,1.90994276,2,DEL,SARACATINIB,"AZD0530, AZD-0530, AZ-10353926"
"435",,,,,DETROIT562,SARACATINIB,
"436",,,,,DKMG,SARACATINIB,
"437",38,687983,3.17072294,2,DMS114,SARACATINIB,"AZD0530, AZD-0530, AZ-10353926"
"438",38,906842,0.53382541,2,DOHH2,SARACATINIB,"AZD0530, AZD-0530, AZ-10353926"
"439",,,,,DOV13,SARACATINIB,
"440",,,,,DU145,SARACATINIB,
"441",38,906846,2.78435222,2,EB2,SARACATINIB,"AZD0530, AZD-0530, AZ-10353926"
"442",,,,,EBC1,SARACATINIB,
"443",,,,,EFM19,SARACATINIB,
"444",,,,,EFO21,SARACATINIB,
"445",,,,,EFO27,SARACATINIB,
"446",38,906855,-1.23148581,2,EM2,SARACATINIB,"AZD0530, AZD-0530, AZ-10353926"
"447",,,,,EN,SARACATINIB,
"448",38,1240128,2.5444088,2,ES2,SARACATINIB,"AZD0530, AZD-0530, AZ-10353926"
"449",,,,,ESS1,SARACATINIB,
